YEAR,MONTH,DAY,CLOUD8AM,VIS8AM,NGWHAL,DURNAZ,DURNTOT,RGWHAL,LRGWHAL
3,7,3,0,5,1,97,161,0.010309278,-3.896677494
3,8,31,5,10,3,144,215,0.020833334,-3.479158878
3,6,12,0,5,7,143,196,0.048951048,-2.831047773
3,7,26,8,0.100000001,1,99,160,0.01010101,-3.906985283
3,9,29,2,5,1,117,168,0.008547009,-3.987446785
3,6,28,1,0.5,0,129,189,0,-4.60517025
3,6,28,1,10,12,105,166,0.114285715,-2.085172176
3,7,12,2,10,1,64,134,0.015625,-3.664186954
3,6,17,1,5,2,142,192,0.014084507,-3.726186514
3,5,27,4,1,0,77,129,0,-4.60517025
3,6,3,7,0.100000001,0,115,183,0,-4.60517025
3,5,26,4,0.5,0,70,147,0,-4.60517025
3,7,14,1,10,0,71,127,0,-4.60517025
3,8,8,2,5,6,123,191,0.048780486,-2.833945274
3,9,3,0,5,0,85,147,0,-4.60517025
3,9,6,6,5,4,147,216,0.027210884,-3.291154146
3,7,23,8,0.100000001,0,63,143,0,-4.60517025
3,6,20,0,1,1,121,178,0.008264462,-4.00279808
3,7,20,4,1,0,66,120,0,-4.60517025
3,7,22,1,0.100000001,0,108,181,0,-4.60517025
3,7,8,5,0.100000001,0,128,203,0,-4.60517025
3,8,24,1,10,4,136,204,0.029411765,-3.233690977
3,6,6,1,10,1,110,165,0.009090909,-3.958543062
3,6,7,3,5,2,138,193,0.014492754,-3.709378004
3,8,10,2,1,3,80,150,0.037500001,-3.047025681
3,7,22,4,1,0,88,141,0,-4.60517025
3,7,23,3,5,1,129,189,0.007751938,-4.03126049
3,7,24,1,1,1,83,153,0.012048192,-3.814524651
3,7,28,1,0.100000001,1,84,153,0.011904762,-3.821051121
3,8,8,8,1,0,111,182,0,-4.60517025
3,6,7,2,10,3,111,171,0.027027028,-3.296107054
3,9,15,3,0.100000001,0,122,188,0,-4.60517025
3,5,31,7,0.100000001,0,63,146,0,-4.60517025
3,6,22,2,1,1,101,168,0.00990099,-3.91698575
3,6,24,0,1,0,76,141,0,-4.60517025
3,7,10,1,10,1,107,164,0.009345794,-3.945280313
3,8,3,1,5,0,78,135,0,-4.60517025
3,9,17,2,5,0,125,193,0,-4.60517025
3,9,7,1,1,0,100,153,0,-4.60517025
3,8,2,0,10,0,106,168,0,-4.60517025
3,7,5,0,5,3,107,160,0.028037382,-3.269185781
3,7,31,1,5,2,136,192,0.014705882,-3.700713873
3,7,7,0,10,2,73,143,0.02739726,-3.286157846
3,6,28,0,10,5,129,190,0.03875969,-3.020851374
3,5,20,8,0.100000001,0,128,210,0,-4.60517025
3,8,17,3,10,1,138,191,0.007246377,-4.060153008
3,6,14,6,1,1,100,150,0.01,-3.912023067
3,7,19,1,10,5,90,144,0.055555556,-2.72485733
3,7,2,1,10,1,92,149,0.010869565,-3.869463444
3,6,25,0,5,0,100,171,0,-4.60517025
3,6,27,1,10,1,142,212,0.007042253,-4.072059631
3,6,9,0,10,3,147,199,0.020408163,-3.493044138
3,7,15,6,10,7,101,164,0.069306932,-2.534429789
3,8,2,1,0.100000001,0,75,148,0,-4.60517025
3,6,24,0,10,0,116,166,0,-4.60517025
3,7,2,3,0.5,0,130,208,0,-4.60517025
3,7,24,0,10,4,144,210,0.027777778,-3.276034355
3,6,23,3,10,0,70,139,0,-4.60517025
3,7,22,4,10,14,91,144,0.15384616,-1.808827281
3,6,15,4,1,1,81,149,0.012345679,-3.801122427
3,5,19,1,1,0,138,204,0,-4.60517025
3,8,17,2,1,0,60,127,0,-4.60517025
3,7,14,6,1,0,133,193,0,-4.60517025
3,7,20,3,10,0,63,128,0,-4.60517025
3,7,3,5,10,2,67,126,0.029850746,-3.222614288
3,5,9,1,1,0,87,140,0,-4.60517025
3,7,2,8,1,1,79,141,0.012658228,-3.787232161
3,7,24,8,1,0,121,179,0,-4.60517025
3,7,4,5,10,6,70,127,0.085714288,-2.346387625
3,6,23,1,1,1,133,195,0.007518797,-4.044480801
3,7,6,0,10,2,133,189,0.015037594,-3.687376738
3,6,29,1,5,2,64,116,0.03125,-3.188104153
3,9,24,5,5,0,90,142,0,-4.60517025
3,8,6,0,10,1,75,134,0.013333334,-3.757872343
2,7,5,1,5,3,61,119,0.049180329,-2.82716608
2,6,26,1,5,7,113,173,0.061946902,-2.631826878
2,9,19,1,0.100000001,0,140,206,0,-4.60517025
2,6,8,1,5,3,99,164,0.030303031,-3.211328745
2,8,8,8,1,0,63,127,0,-4.60517025
2,5,27,7,5,1,88,154,0.011363637,-3.846065044
2,8,31,1,5,7,121,178,0.05785124,-2.690437555
2,7,5,1,0.5,2,132,207,0.015151516,-3.682837248
2,6,23,0,10,1,126,189,0.007936508,-4.020916939
2,7,17,3,10,4,87,141,0.045977011,-2.882814169
2,8,3,6,10,2,71,142,0.028169014,-3.265731335
2,8,25,8,1,0,129,192,0,-4.60517025
2,6,17,1,5,0,83,149,0,-4.60517025
2,7,2,1,5,1,83,151,0.012048192,-3.814524651
2,8,11,6,1,12,112,188,0.107142858,-2.144361019
2,6,3,0,10,4,145,210,0.027586207,-3.281118155
2,6,3,4,0.5,1,72,124,0.013888889,-3.73434186
2,7,13,3,10,1,130,192,0.007692308,-4.03462553
2,8,7,1,10,7,86,145,0.08139535,-2.39256072
2,7,8,0,10,17,83,148,0.204819277,-1.537958145
2,8,25,1,10,2,69,137,0.028985508,-3.244565248
2,8,7,0,0.5,0,145,214,0,-4.60517025
2,8,17,2,0.5,0,109,168,0,-4.60517025
2,8,1,0,10,3,124,193,0.024193548,-3.375718355
2,8,11,0,5,1,105,174,0.00952381,-3.93612051
2,6,14,1,0.100000001,0,138,209,0,-4.60517025
2,8,31,0,10,0,95,154,0,-4.60517025
2,8,30,0,5,0,135,201,0,-4.60517025
2,6,24,1,10,2,67,132,0.029850746,-3.222614288
2,7,16,0,10,1,110,167,0.009090909,-3.958543062
2,7,20,0,10,11,77,131,0.142857149,-1.878251433
2,6,24,3,1,0,127,189,0,-4.60517025
2,7,24,3,10,20,113,180,0.17699115,-1.676693916
2,8,24,3,0.100000001,0,80,152,0,-4.60517025
2,6,15,4,1,0,64,119,0,-4.60517025
2,7,22,3,10,6,81,133,0.074074075,-2.476057053
2,8,13,2,1,0,140,201,0,-4.60517025
2,7,21,0,10,3,75,125,0.039999999,-2.995732307
2,8,25,5,1,0,93,152,0,-4.60517025
2,6,8,2,10,11,117,184,0.094017096,-2.263200045
2,8,22,5,1,1,129,200,0.007751938,-4.03126049
2,7,28,3,5,1,101,172,0.00990099,-3.91698575
2,7,2,1,10,4,81,149,0.049382716,-2.823752165
2,9,16,1,1,0,70,132,0,-4.60517025
2,7,12,1,5,1,95,153,0.010526316,-3.886047602
2,8,2,0,10,2,144,200,0.013888889,-3.73434186
2,6,8,4,1,1,86,147,0.011627907,-3.833770752
2,7,18,1,5,0,132,186,0,-4.60517025
2,6,26,8,0.100000001,0,136,227,0,-4.60517025
2,8,29,0,5,7,133,186,0.052631579,-2.77048564
2,5,26,1,5,9,130,200,0.069230773,-2.535390615
2,7,15,7,0.100000001,0,72,145,0,-4.60517025
2,6,18,1,1,2,67,135,0.029850746,-3.222614288
2,7,16,1,10,1,75,138,0.013333334,-3.757872343
2,6,19,5,1,0,113,171,0,-4.60517025
2,7,17,3,10,6,149,214,0.040268455,-2.990377426
2,5,26,4,10,14,140,205,0.100000001,-2.207274914
2,7,4,0,10,12,143,201,0.083916083,-2.365353584
2,6,30,4,10,1,82,139,0.012195121,-3.807882786
2,7,3,2,0.5,0,69,123,0,-4.60517025
2,7,10,1,10,1,88,154,0.011363637,-3.846065044
2,7,29,7,1,0,79,149,0,-4.60517025
2,7,5,0,5,1,142,213,0.007042253,-4.072059631
2,7,2,1,5,6,139,193,0.043165468,-2.934346199
2,8,1,3,10,1,114,176,0.00877193,-3.97539258
2,7,18,3,10,5,145,215,0.034482758,-3.112653494
2,6,24,1,10,3,122,186,0.024590164,-3.364186049
2,5,11,7,10,2,143,211,0.013986014,-3.730284452
2,6,20,1,10,1,125,179,0.008,-4.017383575
2,6,21,6,0.100000001,0,138,200,0,-4.60517025
2,7,24,0,10,2,121,182,0.016528925,-3.629519701
2,8,24,2,10,4,148,206,0.027027028,-3.296107054
2,6,20,0,5,1,79,142,0.012658228,-3.787232161
2,8,4,7,10,2,99,167,0.02020202,-3.499846458
2,6,17,1,5,2,81,141,0.024691358,-3.361264706
2,9,6,3,1,0,84,151,0,-4.60517025
2,9,13,2,5,0,102,160,0,-4.60517025
2,6,27,1,1,6,149,212,0.040268455,-2.990377426
2,7,18,6,5,1,136,190,0.007352941,-4.053993225
2,7,22,4,1,0,128,183,0,-4.60517025
2,7,28,6,0.100000001,0,85,165,0,-4.60517025
2,5,22,1,5,0,133,192,0,-4.60517025
2,8,12,0,10,0,80,134,0,-4.60517025
2,7,30,8,0.5,2,110,178,0.018181818,-3.569078207
2,6,9,4,10,2,121,183,0.016528925,-3.629519701
2,5,31,0,10,3,78,145,0.03846154,-3.026984692
2,5,26,0,10,5,121,177,0.041322313,-2.969629765
2,6,5,2,0.5,0,138,192,0,-4.60517025
2,7,5,1,5,1,68,126,0.014705882,-3.700713873
2,5,16,1,5,9,106,173,0.084905662,-2.354871988
2,6,27,1,10,2,100,159,0.02,-3.506557941
2,9,17,3,10,4,83,139,0.048192769,-2.843994141
2,7,14,0,10,11,136,195,0.080882356,-2.398189545
2,7,12,0,10,3,117,170,0.025641026,-3.334257841
2,5,30,1,10,3,111,174,0.027027028,-3.296107054
2,7,25,5,5,2,70,139,0.028571429,-3.25524354
